name,number,@name,followers,er,country,domain,potential_reach
Douaa Lahyaoui,187,"Douaa Lahyaoui
 @douaa_lahyaoui_official",794.7K,4.89%,Morocco,Entertainment and Music,238.4K
Anas Zniti,188,"Anas Zniti
 @anas_zniti01",794.5K,6.58%,Morocco,Sports,238.3K
Aymane boubouh   ,189,"Aymane boubouh 🇲🇦 أيمن بوبوح
 @drboubouh",773.7K,1.83%,Morocco,"Life and Society,  , Business and Finance",232.1K
Inkonnu,190,"Inkonnu👽
 @inkonnuu",768.9K,19.85%,Morocco,Art,230.7K
Ghita Mizdid -  ,191,"Ghita Mizdid - غيثة مزديد
 @ghitamiz",768.7K,4.2%,Morocco,"Education,  , Entertainment and Music,  , Celebrity,  , Medical Health",230.6K
Hiba Elyacouti,192,"Hiba Elyacouti
 @nay_rass",764.7K,5.35%,Morocco,"Fashion and Accessories,  , Beauty and Self Care",229.4K
Noureddine Khiti,193,"Noureddine Khiti
 @noureddinekhiti",764.3K,1.39%,Morocco,Business and Finance,229.3K
  ,194,"𝓗𝓪𝓷𝓪𝓮 𝓔𝓵𝓶𝓻𝓲𝓷𝓲 𝓞𝓯𝓯𝓲𝓬𝓲𝓮𝓵
 @hanaeelmriniofficiel",762.1K,5.71%,Morocco,Fashion and Accessories,228.6K
TiiwTiiw,195,"TiiwTiiw
 @tiiwtiiwofficiel",760K,1.88%,Morocco,"Entertainment and Music,  , Lifestyle,  , Music",228K
@azizhattabofficiel,196,"@azizhattabofficiel
 @azizhattabofficiel",749.6K,0.3%,Morocco,,224.9K
Najat Aatabou -  ,197,"Najat Aatabou - نجاة اعتابو
 @najataatabou1",748.2K,0.28%,Morocco,"Entertainment and Music,  , Lifestyle,  , Modeling",224.4K
Nassim Gaabouri,198,"Nassim Gaabouri
 @nassimgaabouri",747.2K,10.61%,Morocco,,224.1K
Amira Mourtaday  ,199,"Amira Mourtaday أميرة المرتضي
 @amira.mourtaday",746.5K,11.94%,Morocco,"Education,  , Fitness and Health",223.9K
Ali Ssamid |   ,200,"Ali Ssamid | علي الصّامد ☪️
 @alissamid",746K,1.24%,Morocco,"Fashion and Accessories,  , Parenting",223.8K
nadia laaroussi  ,201,"nadia laaroussi نادية لعروسي
 @nadialaaroussiofficiel",742.4K,0.6%,Morocco,,222.7K
Chaimae Ghazi,202,"Chaimae Ghazi🪬
 @ghazichaimaee",741.4K,4.24%,Morocco,"Fashion,  , Parenting,  , Dogs,  , Digital Creator",222.4K
Farah Farabian,203,"Farah Farabian
 @farah.farabian",738K,0.56%,Morocco,"Fashion and Accessories,  , Lifestyle",221.4K
Fouad Qebibo |  ,204,"Fouad Qebibo | فؤاد قبيبو
 @fouad_qebibo",734.7K,2.26%,Morocco,"Home and Garden,  , Fashion and Accessories,  , Lifestyle",220.4K
Rachid lanjri,205,"Rachid lanjri
 @rachid_lanjri",733.3K,0.8%,Morocco,,220K
Lamyae Alahyane,206,"Lamyae Alahyane
 @lamyaealahyane",713K,2.36%,Morocco,"Fashion and Accessories,  , Beauty and Self Care,  , Lifestyle",213.9K
Aji Dhek |   ,207,"Aji Dhek | أجي ضحك 🇲🇦
 @aji_dhek",710.2K,1.22%,Morocco,,213.1K
walid karam,208,"walid karam
 @walid_karam.official",705.6K,1.27%,Morocco,,211.7K
Safaa_dlices,209,"Safaa_délices🇲🇦
 @safaa_delices",705K,0.56%,Morocco,"Food,  , Marketing and Advertising",211.5K
Mohsine Moutaouali,210,"Mohsine Moutaouali
 @mohsine_moutaouali",691.8K,7.2%,Morocco,"Sports,  , Soccer",207.5K
Kawtar Samih,211,"Kawtar Samih
 @kawtarsamihoff",674.2K,3.01%,Morocco,Arts and Crafts,202.3K
Bahaeddine Esannaghi | ,212,"Bahaeddine Esannaghi | بهاء
 @bahae.sanari",672.3K,8.58%,Morocco,Travel,201.7K
HOUDA-FUL,213,"HOUDA-FUL
 @houdaful",672.1K,-,Morocco,"Pets,  , Lifestyle",201.6K
Choumicha Chafay ,214,"Choumicha Chafay 🇲🇦🇲🇦
 @choumicha_chafay",670K,1.08%,Morocco,,201K
 ,215,"ᴼᵁᔆᔆᴬᴹᴬ ᴮᴬᔆᵀᴬᴼᵁᴵ
 @oussama_bastaoui",666.1K,0.56%,Morocco,"Acting and Drama,  , Celebrity,  , Music,  , Gym",199.8K
Ouidad Lemniai   ,216,"Ouidad Lemniai ✨ وداد لمنيعي
 @ouidad_lemniai",663.6K,6.26%,Morocco,,199.1K
Reda El Alaoui |  ,217,"Reda El Alaoui | رضا العلوي
 @redaelalaouiofficial",663.5K,1.87%,Morocco,"Acting and Drama,  , Modeling",199K
Hicham Mallouli -  ,218,"Hicham Mallouli - هشام ملولي
 @hichammallouli",663.5K,0.24%,Morocco,"Entertainment and Music,  , Education,  , Auto and Vehicles",199K
OMNIYA TABIT,219,"OMNIYA TABIT
 @omniyatabit.officiel",663.4K,2.91%,Morocco,Art,199K
Faty Elmm,220,"Faty Elmm
 @fatima_zahra_el_moussaoui",658.1K,0.02%,Morocco,"Beauty and Self Care,  , Fashion and Accessories",197.4K
 ,221,"𝐀𝐲𝐨𝐮𝐛 𝐈𝐝𝐫𝐢
 @ayoubidri",652K,4.44%,Morocco,Funny,195.6K
Alya Younes,222,"Alya Younes
 @grow_it_green",649.9K,2.42%,Morocco,"Nature,  , Education,  , Home and Garden,  , Food and Drink",195K
Hajar adnane,223,"Hajar adnane
 @hajar_adnane_officiel",649.6K,1.59%,Morocco,"Entertainment and Music,  , Music,  , Celebrity",194.9K
  ,224,"🌸 𝗳𝗮𝘁𝗶𝗺𝗮𝘇𝘇𝗮𝗵𝗿𝗮 🌸
 @fatimazzahra_a1",647.4K,0.12%,Morocco,,194.2K
  /  ,225,"❤رجاء بلمير /عمر بلمير ❤
 @belmirs2",644.5K,0.08%,Morocco,Fashion,193.4K
Dina Lambarki,226,"Dina Lambarki
 @dina__officiel",637.4K,0.19%,Morocco,"Entertainment and Music,  , Soccer,  , Music",191.2K
 T | Moroccan Humor ,227,"😅 Tᑕᑕ | Moroccan Humor 😅
 @tali3a_cinq_cinq",633.3K,0.5%,Morocco,,190K
Ghita Mainich,228,"Ghita Mainich
 @wolfie_bby",632.9K,4.46%,Morocco,"Fitness and Health,  , Games,  , Video Gaming,  , Medical Health",189.9K
MERIEM BELKHAYAT  ,229,"MERIEM BELKHAYAT مريم بلخياط
 @meriembelkhayatofficial",632.6K,1.7%,Morocco,"Fashion,  , Modeling",189.8K
Hind Tazi,230,"Hind Tazi
 @tazi.hind",630.4K,1.19%,Morocco,Moms,189.1K
Haggagovic - ,231,"Haggagovic - حجاجوفيتش
 @haggagovic",628.5K,7.17%,Morocco,Travel,188.6K
Fighting Mix ,232,"Fighting Mix 👊
 @fighting_mix",627.4K,0.58%,Morocco,Sports,188.2K
Rita lagzouli /  ,233,"Rita lagzouli / غيثة الكزولي
 @ritalagzouli",621.4K,2.3%,Morocco,"Acting and Drama,  , Cars & Motorcycles,  , Humor,  , Nature & Outdoors",186.4K
Sortir Au Maroc ,234,"Sortir Au Maroc 🇲🇦
 @sortiraumaroc",618.4K,0.05%,Morocco,"Travel,  , Lifestyle",185.5K
bac 2024 -  2024 ,235,"bac 2024 - باك 2024 🔵
 @bac_dz",615.6K,0.23%,Morocco,"Education,  , Marketing and Advertising",184.7K
Kawtar Er Raghay |  ,236,"Kawtar Er Raghay | كوثر الرغاي
 @kawtarraghay",615.1K,2.9%,Morocco,Entertainment and Music,184.5K
Leila Chemam,237,"Leila Chemam
 @leilachemam",614.6K,2.69%,Morocco,"family,  , Fashion and Accessories",184.4K
,238,@imarecetas,612.9K,0.86%,Morocco,"Food,  , Marketing and Advertising",183.9K
saadia ladib  ,239,"saadia ladib السعدية لاديب
 @ladibsaadiaofficiel",611.3K,0.34%,Morocco,"Fashion and Accessories,  , Actors",183.4K
H.A33,240,"⚜️H.A⚜️33
 @hamid.ahadad",610.9K,1.62%,Morocco,"Sports,  , Romance and Wedding",183.3K
Draganov ,241,"Draganov 🌎
 @mr.draganov",607.4K,8.96%,Morocco,"Entertainment and Music,  , Lifestyle",182.2K
 linstalmalaki ,242,"👑 linstalmalaki 👑
 @lin.stalmalaki",606.3K,1.1%,Morocco,,181.9K
Dr Ismael Aziz,243,"Dr Ismael Aziz
 @dr.ismael2",604.9K,1.82%,Morocco,,181.5K
Houda Laaroussi |  ,244,"Houda Laaroussi | هدى العروسي
 @houda_laaroussi_bhr",600.3K,1.2%,Morocco,Beauty and Self Care,180.1K
asmaa,245,"asmaa
 @asmaefood",599.2K,2.31%,Morocco,"Food,  , Food and Drink,  , Health and Medical Services",179.8K
  --Moroccan,246,"موروكن فايمس -المغرب-Moroccan
 @moroccanfams",595.5K,0.7%,Morocco,,178.6K
   ,247,"حساب مغربي متنوع 🇲🇦
 @lo_ovee",595K,0.57%,Morocco,Art,178.5K
   ,248,"عشاق الزين القبائلي© ️ℹ️
 @zin_la_kabyle",587.3K,-,Morocco,,176.2K
Maghribea,249,"Maghribea
 @maghribea",578.9K,0.3%,Morocco,,173.7K
Nada hassi _  ,250,"Nada hassi _ ندى حاسي
 @nada_hassi_official1__1",577.7K,3%,Morocco,Parenting,173.3K
Rim Fethi,251,"Rim Fethi
 @rimfethi",577.7K,4.63%,Morocco,"Acting and Drama,  , Celebrity",173.3K
@themoroccanmotivation,252,"@themoroccanmotivation
 @themoroccanmotivation",577.5K,0.58%,Morocco,,173.3K
Ahlam Charafeddine,253,"Ahlam Charafeddine
 @ahlamcharafeddine",575.3K,0.11%,Morocco,"Acting and Drama,  , Celebrity,  , Moms",172.6K
Sara Belehri |  ,254,"Sara Belehri | سارة بلهري
 @sarabelehri",575.2K,1.19%,Morocco,"Fashion and Accessories,  , Travel,  , Lifestyle,  , Modeling",172.6K
  ,255,"مغربية 🇲🇦 مراكشية
 @proud_2be_moroccan",573.2K,0.4%,Morocco,,172K
Mehdi Mozayine,256,"Mehdi Mozayine
 @mehdimozayine",571.4K,1.94%,Morocco,"Entertainment and Music,  , Singer,  , Music,  , Songwriting",171.4K
Redone berhil,257,"Redone berhil
 @redoneberhil",571.3K,0.35%,Morocco,"Entertainment and Music,  , Music",171.4K
SmallX  ,258,"SmallX 🇲🇦 🐉☢️
 @smallxofficial",568.5K,3.33%,Morocco,"Entertainment and Music,  , Fashion and Accessories,  , Music",170.6K
VAN /  ,259,"VAN / ڤان 🇲🇦
 @djvan_bk",565.4K,0.27%,Morocco,"Entertainment and Music,  , Celebrity,  , Music,  , Singer",169.6K
Mourad Batna,260,"Mourad Batna
 @mouradbatna",562.6K,1.35%,Morocco,,168.8K
TAGNE ~ ,261,"TAGNE ~ طاني
 @tagneofficiel",562K,2.52%,Morocco,"Entertainment and Music,  , Music,  , Actors",168.6K
Wahiba Bouya |  ,262,"Wahiba Bouya | وهيبة بويه
 @wahibabouya",556.9K,3.35%,Morocco,,167.1K
Alaoui Khaoula,263,"Alaoui Khaoula
 @khaoulaalaouiii_1",555.6K,0.3%,Morocco,Pets,166.7K
Maruza Aparicio,264,"Maruza Aparicio
 @maruzaaparicio",554.6K,0.29%,Morocco,"Beauty and Self Care,  , Bikini,  , Actors",166.4K
Only Arab girls ,265,"Only Arab girls 💃🏼
 @insta_maghreb",554.5K,-,Morocco,"Events,  , Modeling,  , Fashion",166.3K
Majdouline idrissi,266,"Majdouline idrissi
 @majdoulineidrissi_officiel",552K,1.5%,Morocco,Acting and Drama,165.6K
  ,267,"🇲🇦وصفات طبخ مغربي
 @wasafat_tabkh_maghribi",551.7K,0.8%,Morocco,Food,165.5K
Eng. Ghalia salhi,268,"Eng. Ghalia salhi
 @ghalia.salhi",551.4K,8.7%,Morocco,"Fashion and Accessories,  , Events,  , Modeling,  , Lifestyle",165.4K
Samia slimani   ,269,"Samia slimani سا مية السليماني
 @samiaslimaniofficiel",549.7K,1.31%,Morocco,Fashion and Accessories,164.9K
_ chikha_trax,270,"الشيخة_طراكس chikha_trax
 @fatimaezzahra.trax",548.7K,1.3%,Morocco,,164.6K
Amine Ouizid,271,"Amine Ouizid
 @amine_hls",548.5K,5.46%,Morocco,"Sports,  , Travel,  , Lifestyle",164.5K
Mohammed Nahiri,272,"Mohammed Nahiri
 @nahirimohamed",548.1K,1.14%,Morocco,Sports,164.4K
Mr Walla Himself ,273,"Mr Walla Himself 😎🤣
 @youssefbouba",547.6K,5.11%,Morocco,"Entertainment and Music,  , Actors",164.3K
Kawtar Tissia |  ,274,"Kawtar Tissia | كوثر تيسية
 @kawtartissiaofficial",544.5K,3.64%,Morocco,"Entertainment and Music,  , Television",163.3K
Atelier Drihem,275,"Atelier Drihem
 @atelier_drihem",539.7K,0.06%,Morocco,Fashion,161.9K
Sofia Belkamel,276,"Sofia Belkamel
 @sofiabelkamel_hls",539.5K,4.85%,Morocco,"Beauty and Self Care,  , family,  , Lifestyle",161.9K
Khalil Mouad,277,"Khalil Mouad
 @khalilmouad",539.4K,4.26%,Morocco,Entertainment and Music,161.8K
Samira El Beloui,278,"Samira El Beloui
 @s.elbeloui",538.3K,0.49%,Morocco,Entertainment and Music,161.5K
Loubna Ben,279,"Loubna Ben
 @loubnaben00",537.1K,0.4%,Morocco,,161.1K
  ,280,"👑كرم الدار المغربية🌹
 @dar.lmaghribiya",533.4K,0.1%,Morocco,,160K
May ,281,"May 🫶🏼
 @maymyatnoe_may",531.6K,1.02%,Morocco,"Fashion and Accessories,  , Modeling,  , Fashion Design",159.5K
Sara el gueddari,282,"Sara el gueddari
 @igmorocco",530.2K,4.01%,Morocco,"Fashion,  , Hair & Beauty,  , Kids & Parenting,  , Digital Creator",159.1K
Mehdiz,283,"Mehdiz
 @mehdizofficial",528.3K,0.25%,Morocco,Entertainment and Music,158.5K
Hjr ,284,"Hàjár 👑🇲🇦
 @hajar_arssalanee",527.7K,4.9%,Morocco,"Fashion,  , Modeling",158.3K
Hicham Elamri,285,"Hicham Elamri
 @reflex_optic_officiel",524.2K,0.08%,Morocco,,157.3K
Rayan Chaar,286,"Rayan Chaar
 @rayanch",524.1K,0.5%,Morocco,Fashion,157.2K
Simo amine,287,"Simo amine🇲🇦📸
 @simoamine74",522.3K,1.24%,Morocco,Celebrity,156.7K
Lamia Zaidi |   ,288,"Lamia Zaidi | لمياء الزايدي 🇲🇦
 @lamiazaidi",521.8K,0.18%,Morocco,"Entertainment and Music,  , Music,  , Singer,  , Modeling",156.6K
wavo,289,"wavo
 @wavo00",521.1K,9.1%,Morocco,,156.3K
Decor dary |  ,290,"Decor dary | 🅸🅳🅴🅰🆂 ⓓⓔⓢⓘⓖⓝ
 @decor_dary_",520.4K,0.28%,Morocco,"Home and Garden,  , Arts and Crafts,  , DIY and Life Hacks",156.1K
  - Aziz Dadas,291,"عزيز داداس - Aziz Dadas
 @azizdadasofficiel",519.9K,0.82%,Morocco,Acting and Drama,156K
  ,292,"هــــــدى 💎 𝓗𝓸𝓾𝓭𝓪
 @houda_elhouari",519.7K,3.8%,Morocco,,155.9K
Rabiekatiofficiel,293,"Rabiekatiofficiel
 @rabiekati",519.7K,0.74%,Morocco,"Entertainment and Music,  , Acting and Drama,  , Modeling,  , Actors",155.9K
 ,294,"𝐃𝐫𝐢𝐬𝐬 𝐅𝐞𝐭𝐭𝐨𝐮𝐡𝐢
 @df_33",518.4K,1.75%,Morocco,"Actors,  , Music,  , Singer",155.5K
Mehdi Benkirane |  ,295,"Mehdi Benkirane | المهدي بنكيران
 @mehdibenkirane",516.8K,1.71%,Morocco,Fashion and Accessories,155K
      ,296,"🇲🇦 رجاء بلمير 👫 عمر بلمير 🇲🇦
 @belmirsfans3",515.9K,0.1%,Morocco,,154.8K
  ,297,"لالــــة الوزيـــــــــــرة 😎
 @_lalla__lwazera_",515.4K,0.1%,Morocco,,154.6K
Houda Majd,298,"Houda Majd
 @houdamajd",515.2K,0.17%,Morocco,"Acting and Drama,  , Beauty and Self Care,  , Celebrity,  , Modeling",154.6K
Echbiy ,299,"Echbiy إشبي
 @echbiyadil",515K,0.21%,Morocco,"Entertainment and Music,  , Music",154.5K
NISRINE,300,"NISRINE
 @lifewithnisrine",514.8K,3.3%,Morocco,"Beauty,  , Fashion",154.4K
 |  ,301,"𝗥𝗔𝗗𝗠𝗢 | رادمو 🦎
 @itsradmo",512.7K,6.21%,Morocco,"Entertainment and Music,  , Funny,  , Medical Health,  , Parenting",153.8K
Otmane Akessou ,302,"🌟Otmane Akessou 🌟
 @otman_akes",512.5K,2.86%,Morocco,"Fashion and Accessories,  , Travel,  , Business and Finance,  , Lifestyle",153.7K
Mounia Senhaji ,303,"Mounia Senhaji ⚜️
 @mouniasenhaji",512.2K,0.99%,Morocco,"Beauty and Self Care,  , Fashion and Accessories,  , Outdoor Activity,  , Sports",153.7K
Omar Azaitar,304,"Omar Azaitar
 @omarazaitar",510.1K,0.7%,Morocco,"Sports,  , Coaching",153K
,305,"صوفيا
 @sophiaoulhyaneofficiel1",509.9K,17.2%,Morocco,,153K
Dunia batma fans ,306,"Dunia batma fans ✨
 @dunia_batma_11",509K,1.59%,Morocco,"Entertainment and Music,  , Romance and Wedding",152.7K
Eman Shmety -   ,307,"Eman Shmety - إيمان الشميطي 🇲🇦
 @emanshmety",506.2K,0.77%,Morocco,"Entertainment and Music,  , Music,  , Singer,  , Modeling",151.9K
Sultana siham,308,"Sultana siham
 @sultanasiham",505.5K,0.2%,Morocco,"Beauty and Self Care,  , Fashion and Accessories",151.7K
naziha,309,"naziha
 @doranaziha",505.3K,1.51%,Morocco,Beauty and Self Care,151.6K
Soufiane Tahri | ,310,"Soufiane Tahri |سفيان الطاهري
 @soufiane.tah",502.7K,3.76%,Morocco,"Arts and Crafts,  , Entertainment and Music",150.8K
MOUNIR KIDADI ,311,"MOUNIR KIDADI ®️
 @mounir_kidadi_officiel",501.7K,1.2%,Morocco,,150.5K
Nada Nada Oubnichou,312,"Nada Nada Oubnichou
 @nada.oubnichou",501.1K,0.36%,Morocco,"Acting and Drama,  , Entertainment and Music,  , Celebrity,  , Lifestyle",150.3K
Zina Salouane,313,"Zina Salouane
 @zina_salouane",501.1K,1.08%,Morocco,"Food,  , Food and Drink",150.3K
nouhaila ,314,"nouhaila 💎
 @nouhaila_abouhanifa",501K,3.9%,Morocco,Fashion,150.3K
 ,315,"يآسمين الأغآ
 @yaso.yasmine23",500.4K,-,Morocco,,150.1K
Twins beladi /  ,316,"Twins beladi / توأم بلاديⓂ️
 @chaimae_lamjared_",499.6K,-,Morocco,,149.9K
 lily style ,317,"╰⊰⊹✿ lily style ✿⊹⊱╮🇲🇦
 @lily_style___",499.6K,0.2%,Morocco,Fashion and Accessories,149.9K
 SalmaChenouani ,318,"سلمى الشنوانيSalmaChenouani 🌸
 @salma_chenouani",499.2K,1.95%,Morocco,,149.8K
Doc samad,319,"Doc samad
 @doc_samad",496.7K,0.3%,Morocco,"Fashion,  , Lifestyle",149K
Moroccan Memes ,320,"Moroccan Memes 🎭🇲🇦
 @memes.morocco",496.7K,1%,Morocco,,149K
luxury Couture By Fati ,321,"luxury Couture By Fati 🧿
 @luxurycouturebytima",493.6K,0.54%,Morocco,"Fashion and Accessories,  , Marketing and Advertising",148.1K
Chaimae Chaimae,322,"Chaimae Chaimae
 @chaimaeouarzaziofficiel",488.7K,2.38%,Morocco,Fashion and Accessories,146.6K
saad mouaffak /   ,323,"saad mouaffak / سعد موفق 🇲🇦
 @saadmouaffak1",487.4K,2.7%,Morocco,,146.2K
Belmoeiti Ouadie,324,"Belmoeiti Ouadie
 @les_badadistes",486.4K,4.04%,Morocco,"Romance and Wedding,  , Travel,  , Lifestyle",145.9K
 _ ,325,"𝐦𝐚𝐠𝐡𝐫𝐞𝐛𝐢𝐚 _ 𝐟𝐨𝐫𝐞𝐯𝐞𝐫
 @maghrebia_forever",486K,-,Morocco,,145.8K
    ,326,"🦁꧁ 𝗬𝗔𝗦𝗦𝗜𝗡€ ᯽ 𝗙𝗔𝗢𝗨𝗭𝗜 ꧂🦁
 @yassinefaouzi_officiel",482K,2.66%,Morocco,Finance,144.6K
israe israe,327,"israe israe
 @israebenkrara",481.5K,2.7%,Morocco,,144.5K
Mohamed rifai officiel,328,"Mohamed rifai officiel
 @mohamederifai",480.9K,1.4%,Morocco,Entertainment and Music,144.3K
MO 7,329,"MO 7
 @mohamed_ounajem_07",480.5K,10.6%,Morocco,,144.1K
Chaimae Abdelaziz,330,"Chaimae Abdelaziz
 @chaimaabdelazizofficiel",480.4K,0.2%,Morocco,"Entertainment and Music,  , Music",144.1K
Tiger,331,"Tiger
 @tigerwar44",478.3K,1.83%,Morocco,,143.5K
ChaimaaBouaqil,332,"ChaimaaBouaqil
 @chaimaabouaqil",478.2K,0.6%,Morocco,Art,143.5K
,333,@kichoix.shop,476.3K,0.2%,Morocco,Fashion and Accessories,142.9K
Fatima Zahra Darraa,334,"Fatima Zahra Darraa
 @fatimaezzahrae.dr",475.3K,1.52%,Morocco,"Beauty and Self Care,  , Fashion and Accessories,  , Education",142.6K
Safae Hbirkou Chougrad,335,"Safae Hbirkou Chougrad🔵
 @safae.hbirrkou",473.7K,0.4%,Morocco,"Entertainment and Music,  , family,  , Romance and Wedding",142.1K
Ghizlane Halli,336,"Ghizlane Halli
 @ghizlane_chlikhate",472.6K,1.22%,Morocco,"Fashion and Accessories,  , Parenting",141.8K
RAJA CLUB ATHLETIC ,337,"RAJA CLUB ATHLETIC 💚
 @trollrajamondial",470.5K,1.75%,Morocco,"Entertainment and Music,  , Funny,  , Soccer,  , Coaching",141.2K
Hananeibrahimiofficiel,338,"Hananeibrahimiofficiel
 @hananibrahimiofficiel",469.4K,0.5%,Morocco,"Acting and Drama,  , Modeling",140.8K
 ,339,"𝗦𝗻𝗮𝗽 𝗠𝗮𝗿𝗼𝗰
 @snapmaroc.officiel",469.2K,0.61%,Morocco,"Funny,  , Life and Society",140.8K
,340,@buzz_marocain,468.4K,0.1%,Morocco,,140.5K
Khalid ettolba -  ,341,"Khalid ettolba - خالد الطلبة
 @khalid.ettolba",467K,3.37%,Morocco,Finance,140.1K
_,342,"شهيوات_شيك
 @recettes_chic",465.5K,-,Morocco,,139.6K
FASHION IN MOROCCO ,343,"FASHION IN MOROCCO ®️
 @fashion.in.morocco",463.6K,0.1%,Morocco,Fashion and Accessories,139.1K
,344,"🪐
 @douaeab34_",463.3K,0.4%,Morocco,,139K
Fashion beauty,345,"Fashion beauty
 @the_beautiful_moroccain",462.4K,0.18%,Morocco,"Beauty and Self Care,  , Modeling",138.7K
Nasrat Haqparast,346,"Nasrat Haqparast
 @nasrat_mma",459.7K,5.84%,Morocco,"Sports,  , Fitness and Health",137.9K
   ,347,"❤👈 مغاربة🔝 فاميلي👪 أوفيسييل💯👉💚
 @mgharba_family_officiel",459.2K,0.3%,Morocco,family,137.8K
Abdelazize Ouenza,348,"Abdelazize Ouenza
 @ouenz_art",458.6K,6.56%,Morocco,Arts and Crafts,137.6K
DJ Hamida,349,"DJ Hamida
 @djhamidaofficiel",455.8K,0.49%,Morocco,"Entertainment and Music,  , Lifestyle,  , Music",136.7K
Simply Morocco,350,"Simply Morocco
 @simplymorocco",455.4K,4.02%,Morocco,"Travel,  , Product Showcase,  , Lifestyle",136.6K
Reda,351,"Reda
 @reda_food_review",455.4K,1.3%,Morocco,Food and Drink,136.6K
&  | manle redafans,352,"منال& رضا | manle redafans
 @manel_reda2",455.2K,2.6%,Morocco,,136.6K
Adeltaarabt11official,353,"Adeltaarabt11official
 @adeltaarabt11officiel",453.4K,3.77%,Morocco,"Fitness,  , Coaching,  , Training",136K
Ayoub El Kaabi,354,"Ayoub El Kaabi
 @ayoub_elkaabii",452.8K,5.48%,Morocco,Sports,135.8K
Abdelilah Hafidi,355,"Abdelilah Hafidi
 @hafidiabdel18",450.5K,5.58%,Morocco,"Soccer,  , Lifestyle,  , Sports",135.2K
belmirs  ,356,"❤belmirs❤ 📥للإعلانات التجارية
 @moroco_insta",450K,-,Morocco,,135K
 ,357,"جهان عسال
 @assal_jihane04",449.8K,1.94%,Morocco,"Beauty and Self Care,  , Personal Blog,  , Creators & Celebrities",135K
,358,@brada_rabab,448.8K,0.5%,Morocco,Entertainment and Music,134.6K
MADD ,359,"MADD 🇲🇦
 @itsmemadd",448.3K,11.71%,Morocco,"Art,  , Music,  , Singer,  , Entertainment",134.5K
Jana Lamjarred ,360,"Jana Lamjarred 💍
 @jana_jana_lamjarred",445.5K,2.1%,Morocco,"Fashion and Accessories,  , Celebrity",133.7K
Aziz Bouhaddouz,361,"Aziz Bouhaddouz
 @aziz_bouhaddouz",445.5K,2.4%,Morocco,"Soccer,  , Lifestyle,  , Fitness,  , Gym",133.7K
Papillon Hajaar,362,"Papillon Hajaar
 @itshayyar",444.3K,0.3%,Morocco,Auto and Vehicles,133.3K
Hamza Benzaroual,363,"Hamza Benzaroual
 @hamzabenzaroual1",443.4K,1.97%,Morocco,"Art,  , Music,  , Beauty",133K
  00,364,"𝐒𝐚𝐧𝐚𝐞 🍓 𝐡𝐢𝐣𝐚𝐛𝐞𝐚𝐮𝐭𝐲00
 @hijabeauty00",442K,0.15%,Morocco,Beauty and Self Care,132.6K
,365,@lebyedhamza.officiel1,440K,2.2%,Morocco,,132K
ILHAM BEL-GHARIB ,366,"ILHAM BEL-GHARIB 🦋
 @ilham.belgharib",439.5K,2.2%,Morocco,"Parenting,  , Beauty",131.9K
Ilyass zaari,367,"Ilyass zaari
 @ilyass_zaari1",437K,3.67%,Morocco,"Entertainment and Music,  , Funny",131.1K
Leila Chouay,368,"Leila Chouay
 @leilachouay",435.9K,0.11%,Morocco,,130.8K
Ouassima el mail  ,369,"Ouassima el mail وسيمة الميل
 @wassima.official",435.8K,-,Morocco,Entertainment and Music,130.7K
Laura Petard,370,"Laura Petard️
 @laura_petard",435.7K,7.52%,Morocco,"Entertainment and Music,  , Celebrity",130.7K
Salma Douma ( Officiel ),371,"Salma Douma ( Officiel )
 @salmadouma",435.3K,0.33%,Morocco,"Fashion and Accessories,  , Modeling",130.6K
MOROCCO | MAROC | TRAVEL,372,"MOROCCO | MAROC | TRAVEL
 @inmorocco",434.2K,0.44%,Morocco,"Travel,  , Home and Garden",130.3K
SAIDA BAADDI |  ,373,"SAIDA BAADDI | سعيدة باعدي
 @saidabaaddi_officiel",433.6K,1.41%,Morocco,,130.1K
Moroccan Officiel,374,"Moroccan Officiel
 @moroccan_officiel",432.2K,0.3%,Morocco,"Entertainment and Music,  , News,  , News & Politics",129.7K
MAESTRO,375,"MAESTRO🇲🇦
 @maestro_officiel",432.1K,3.77%,Morocco,Art,129.6K
ILYASS RIDER,376,"ILYASS RIDER
 @ilyassrider13",431.8K,33.55%,Morocco,Auto and Vehicles,129.5K
  ,377,"𝑹𝒉𝒚𝒏𝒐🦏🇲🇦𝑷𝒂𝒔 𝒄𝒐𝒎𝒎𝒆 𝒆𝒖𝒙😂
 @rhyno_insta",431.2K,2.1%,Morocco,Funny,129.3K
  lalla fanida,378,"للافنيده 🌸 lalla fanida
 @lalla_fanida",430.5K,0.88%,Morocco,Entertainment and Music,129.1K
hacer_ma,379,"hacer_ma❤😘
 @jiji_hacer",430.4K,0.4%,Morocco,"Life and Society,  , Funny",129.1K
Bilal Africano,380,"Bilal Africano
 @dj.africano",429K,0.26%,Morocco,"Entertainment and Music,  , News,  , Singer,  , Music",128.7K
Ibtissam Moumni -  ,381,"Ibtissam Moumni - ابتسام مومني
 @ibtissammomniofficiel1",428K,1.09%,Morocco,"Fashion and Accessories,  , Celebrity,  , Music",128.4K
Dounia  ,382,"Dounia 🌸 دنيا
 @yourbeauty_by_dounia",427.7K,0.59%,Morocco,"Beauty and Self Care,  , Education,  , Parenting,  , Lifestyle",128.3K
